id,wine,rating,location,image
32,Chardonnay Eastside 2012,"{'average': '4.8', 'reviews': '28 ratings'}",United States·Russian River Valley,https://images.vivino.com/thumbs/6JonqprfR_SMBTqliXjB7Q_pb_x300.png
33,Reserve Chardonnay 2014,"{'average': '4.8', 'reviews': '27 ratings'}",United States·Napa Valley,https://images.vivino.com/thumbs/ZdnxhNdpTeet4bwwTdFUJA_pb_x300.png
34,Montrachet Grand Cru 1989,"{'average': '4.8', 'reviews': '27 ratings'}",France·Montrachet Grand Cru,https://images.vivino.com/thumbs/rORmihtxSrKG7SfuI0bD6w_pb_x300.png
35,Chablis Premier Cru 'Butteaux' 2001,"{'average': '4.8', 'reviews': '26 ratings'}",France·Chablis 1er Cru 'Butteaux',https://images.vivino.com/thumbs/eBzMh3SOSDGAmJv0cg2vnw_pb_x300.png
36,Corton-Charlemagne Grand Cru 1998,"{'average': '4.8', 'reviews': '26 ratings'}",France·Corton-Charlemagne Grand Cru,https://images.vivino.com/thumbs/QIs0hHhdRHubnyUjY8U2kA_pb_x300.png
37,Singerriedel - Riesling Smaragd 2002,"{'average': '4.8', 'reviews': '26 ratings'}",Austria·Wachau,https://images.vivino.com/thumbs/W7Tblf6DSU6rZjeCpIkJ8Q_pb_x300.png
38,Unendlich Riesling 2017,"{'average': '4.8', 'reviews': '26 ratings'}",Austria·Wachau,https://images.vivino.com/thumbs/Clc1N_neRBq_orOAKw9aqg_pb_x300.png
39,Bâtard-Montrachet Grand Cru 2003,"{'average': '4.8', 'reviews': '25 ratings'}",France·Bâtard-Montrachet Grand Cru,https://images.vivino.com/thumbs/RIMuIFwaQVa-HkHKNztfxA_pb_x300.png
40,Montrachet Grand Cru N.V.,"{'average': '4.7', 'reviews': '1249 ratings'}",France·Montrachet Grand Cru,https://images.vivino.com/thumbs/rORmihtxSrKG7SfuI0bD6w_pb_x300.png
41,Meursault Les Rougeots N.V.,"{'average': '4.7', 'reviews': '711 ratings'}",France·Meursault,https://images.vivino.com/thumbs/l5W5NRvZR_SzClIDSnG5Ag_pb_x300.png
42,Gold Chardonnay N.V.,"{'average': '4.7', 'reviews': '481 ratings'}",United States·Napa Valley,https://images.vivino.com/highlights/icon/top_ranked.svg
43,Unendlich Riesling N.V.,"{'average': '4.7', 'reviews': '428 ratings'}",Austria·Wachau,https://images.vivino.com/thumbs/Clc1N_neRBq_orOAKw9aqg_pb_x300.png
44,Estate Finch Hollow Chardonnay (Cave Fermented) N.V.,"{'average': '4.7', 'reviews': '375 ratings'}",United States·Napa Valley,https://images.vivino.com/thumbs/pQ_92smWRKG7Y7h5_ZwD-w_pb_x300.png
45,Montrachet Grand Cru N.V.,"{'average': '4.7', 'reviews': '310 ratings'}",France·Montrachet Grand Cru,https://images.vivino.com/thumbs/7NGox10_SBWN1jRRD_dCdw_pb_x300.png
46,Gaia & Rey Langhe 2011,"{'average': '4.7', 'reviews': '299 ratings'}",Italy·Langhe,https://images.vivino.com/thumbs/5K9sXX9CQ8eonyEU71IlDA_pb_x300.png
47,Castillo Ygay Gran Reserva Especial Blanco 1986,"{'average': '4.7', 'reviews': '254 ratings'}",Spain·Rioja,https://images.vivino.com/thumbs/G3MU5UwBQ1eCX5A6CiPivg_pb_x300.png
